STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,indic_he,Health indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IT,Italy,2019,,81.4,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IT,Italy,2020,,80.0,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IT,Italy,2021,,80.5,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IT,Italy,2022,,80.7,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,IT,Italy,2023,,81.4,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LT,Lithuania,2012,,68.4,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LT,Lithuania,2013,,68.5,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LT,Lithuania,2014,,69.2,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LT,Lithuania,2015,,69.2,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LT,Lithuania,2016,,69.5,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LT,Lithuania,2017,,70.7,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LT,Lithuania,2018,,70.9,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LT,Lithuania,2019,,71.6,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LT,Lithuania,2020,,70.1,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LT,Lithuania,2021,,69.5,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LT,Lithuania,2022,,71.4,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LT,Lithuania,2023,,72.9,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LU,Luxembourg,2012,,79.1,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LU,Luxembourg,2013,,79.8,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LU,Luxembourg,2014,,79.4,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LU,Luxembourg,2015,,80.0,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LU,Luxembourg,2016,,80.1,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LU,Luxembourg,2017,,79.9,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LU,Luxembourg,2018,,80.1,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LU,Luxembourg,2019,,80.2,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LU,Luxembourg,2020,,79.9,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LU,Luxembourg,2021,,80.5,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LU,Luxembourg,2022,,80.8,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LV,Latvia,2012,,68.9,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LV,Latvia,2013,,69.3,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LV,Latvia,2014,,69.1,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LV,Latvia,2015,,69.7,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LV,Latvia,2016,,69.8,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LV,Latvia,2017,,69.8,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LV,Latvia,2018,,70.1,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LV,Latvia,2019,,70.9,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LV,Latvia,2020,,70.6,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LV,Latvia,2021,,68.2,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LV,Latvia,2022,,69.4,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,LV,Latvia,2023,,70.5,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,MT,Malta,2012,,78.6,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,MT,Malta,2013,,79.6,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,MT,Malta,2014,,79.9,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,MT,Malta,2015,,79.8,,,,,
dataflow,ESTAT:TPS00208(1.0),Life expectancy at birth by sex,A,Annual,YR,Year,M,Males,LE_0,Life expectancy in absolute value at birth,MT,Malta,2016,,80.6,,,,,
